company_name,contact_person,email,category,notes
NAID,المسؤول في الأكاديمية الوطنية,info@naid.gov.eg,NAID,National Academy (Pilot + training + tech support)
Baseera Foundation,المسؤول في مؤسسة بصيرة,info@baseerafoundation.org,Baseera,Baseera Foundation (Pilot + distribution + partnership)
National Bank of Egypt (NBE),مسؤول المسؤولية المجتمعية بالبنك الأهلي,csr@nbe.com.eg,CSR,Financial sponsorship + CSR (Active in inclusion)
Misr El Kheir Foundation,إدارة منح مشاريع التخرج بمؤسسة مصر الخير,grants-hr@misrelkheir.org,General,Graduation project support (up to 80K EGP)
Dell Technologies Egypt,CSR and Tech Partnerships Manager,egypt.partnerships@dell.com,CSR,Partner in Assistive Tech (Partners with NAID)
AstraZeneca Egypt,CSR & Patient Safety Team,Patient.SafetyEgypt@astrazeneca.com,CSR,Healthcare and CSR partnerships
Sanofi Egypt,Communications & CSR Team,EG.Communication@sanofi.com,CSR,Strong CSR and health awareness programs
Orange Egypt (DAesn Program),مسؤول برنامج تدريب ذوي الإعاقة (Orange),daesnassociation@yahoo.com,General,Orange Egypt program for training & employing disabled
Ataa Charitable Investment Fund,إدارة الصندوق الاستثماري الخيري لعطاء,contact@ataa.fund,General,Charitable investment fund for disabled (Baseera partner)
SDS Egypt (Smart Disability Society),المسؤول بالجمعية الذكية لذوي الإعاقة,info@sdsegypt.com,General,Specialized in Assistive Tech + training for the blind
Alameda Healthcare Group,Partnerships and Medical Tech Team,info@alameda-hc.com,CSR,Strategic partner of Siemens (Medical tech + CSR)
Humanity & Inclusion Egypt,إدارة منظمة الإنسانية والإدماج بمصر,egypt@hi.org,General,International NGO specializing in disability support
